PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
1990;Centro Cultural Almirante Churruca (Latina);; Secretaría: de lunes a viernes de 9 a 14 y de 16,30 a 19 horas.  ;  Sala de exposiciones  Sala de lectura/estudio  Salón de actos/auditorio  10 Aulas  Zona wifi  ; Metro: Aviación Española (línea 10)  Bus: 17, 34, 39, 139  Renfe: Las Águilas ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=76c43d0b5e71c010VgnVCM1000000b205a0aRCRD;FUENTE DEL TIRO;CALLE;V;72;;;;;MADRID;MADRID;28024;LAS AGUILAS;LATINA;433895;4470766;403.829.835.905.706;-37.800.890.564.106.600;915 090 581 / 917 053 794;;ccchurruca@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1942;Centro Cultural Antonio Machado (San Blas - Canillejas);; Secretaría: de lunes a viernes de 10 a 13:45 y de 17 a 18:45 horas.  ;  5 salas de exposiciones  2 salones de actos / auditorio  18 aulas  Zona wifi  ;Bus: 4, 106, 140;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD;SAN ROMAN DEL VALLE;CALLE;V;8;;;;;MADRID;MADRID;28037;ARCOS;SAN BLAS-CANILLEJAS;447365;4474799;4.042.027.705.095.570;-3.621.741.078.700.330;913 135 294 ;;ccamachado@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1919;Centro Cultural Aravaca (Moncloa - Aravaca);; Secretaría: de lunes a viernes de 10 a 13:30 horas. Lunes y martes de 18 a 20 horas ;  8 aulas  Zona wifi  ;Bus: 160, 161;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD;ZARZA;CALLE;V;20;;;;;MADRID;MADRID;28023;ARAVACA;MONCLOA-ARAVACA;433479;4479145;4.045.843.103.553.320;-3.785.855.667.139.090;917 400 882 / 883;;ccaravaca@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
64851;Centro Cultural Buenavista (Salamanca);; Secretaría: de 9 a 13 horas y de 16 a 18 horas de lunes a jueves. Viernes de 9 a 13 horas. ;  1 sala de exposiciones  1 sala de lectura y estudio  1 salón de actos / auditorio   8 aulas (incluyendo gimnasios)  Zona Wifi  ; Metro: Diego de León (líneas 4 , 5 , 6)  Bus: 1, 12, 48, 74 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD;TOREROS;AVENIDA;V;5;;;;;MADRID;MADRID;28028;GUINDALERA;SALAMANCA;443202;4476130;4.043.200.210.571.460;-36.709.293.330.780.200;917 240 800 / 917 240 802;;ccbuenavista@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1943;Centro Cultural Buero Vallejo (San Blas - Canillejas);; Secretaría: de lunes a viernes de 9:30 a 13:30 y de 16 a 18 horas.  ;  Sala de exposiciones  Salón de actos / auditorio  8 aulas  Zona wifi  ; Metro: Torres Arias (línea 5)  Bus: 77  ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD;"BOLTA&Ntilde;A";CALLE;V;26;;;;;MADRID;MADRID;28022;CANILLEJAS;SAN BLAS-CANILLEJAS;448133;4477512;4.044.477.474.902.180;-36.129.105.844.633.700;917 411 182;;ccbvallejo@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
118317;Centro Cultural Carril del Conde (Hortaleza);; Secretaría (atención al público): de 9 a 14 horas ;  Zona wifi  ; Metro: Arturo Soria (línea 4)  Bus: 9, 72, 73 ;  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  9 aulas  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD;CARRIL DEL CONDE;CALLE;V;57;;;;;MADRID;MADRID;28043;CANILLAS;HORTALEZA;444625;4479327;4.046.088.953.531.130;-36.544.210.187.969.400;"917 161 240 / 917 161 242                          
";;cccarrilconde@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1945;Centro Cultural Casa de Vacas (Retiro);; De lunes a domingo de 10 a 21 horas. ;  Sala de exposiciones  Salón de actos / auditorio  Zona Wifi  ; Metro: Retiro (línea 2)  Bus: 2, 20, 28, 202 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD;COLOMBIA;PASEO;V;1;;;;;MADRID;MADRID;28009;LOS JERONIMOS;RETIRO;442077;4474703;4.041.906.024.374.350;-36.840.615.387.926.900;"914 095 819 / 914 092 336              
";;cccasadevacas@madrid.es;/contenido/entidadesYorganismos/SalasExposiciones; 
1925;Centro Cultural Casa del Reloj (Arganzuela);; Secretaría: de lunes a viernes de 10 a 13 y de 17 a 19 horas (talleres). ;  2 Salas de exposiciones  Salón de actos / auditorio  14 aulas  Cafetería  zona wifi  ; Metro: Legazpi (líneas 3, 6)  Bus: 6, 18, 62, 78, 148 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD;CHOPERA;PASEO;V;6 y 10;;;;;MADRID;MADRID;28045;CHOPERA;ARGANZUELA;440695;4471989;40.394.522.745.106.700;-37.000.855.961.559.800;915 886 123 / 915 886 118;;crelojarganzuela@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
4551096;Centro Cultural Ciudad Pegaso (San Blas - Canillejas);; Secretaría: de lunes a viernes de 10 a 13:30 y de 16:30 a 19 horas. ;  Salas de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  13 aulas  Zona wifi  ;Bus :  77 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=07f63190712b1110VgnVCM1000000b205a0aRCRD;SEPTIMA;AVENIDA;V;11;;;;;MADRID;MADRID;28022;REJAS;SAN BLAS-CANILLEJAS;449391;4477910;40.448.428.925.762.600;-35.980.969.888.187.300;913 209 770;;cccpegaso@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
80143;Centro Cultural Dotacional Integrado Arganzuela;; Secretaría: de lunes a viernes de 9 a 13 y de 17 a 19 horas ;  Equipamientos    Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  2 salas de ensayo  8 aulas  Cafetería  Zona wifi    Servicios    Actividades de ocio y tiempo libre  Convivencia familiar y social   Atención psicosocial  ; Metro: Palos de la Frontera (línea 3)  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 102, 247  Renfe: Delicias ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD;CANARIAS;CALLE;V;17;;;;;MADRID;MADRID;28045;PALOS DE MOGUER;ARGANZUELA;441089;4472825;4.040.207.279.862.860;-36.955.325.387.824.000;915 063 610;;cdiarganzuela@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
5498725;Centro Cultural Eduardo Úrculo (Tetuán);; Secretaría: de lunes a viernes de 9:30 a 13:30 y de lunes a jueves 17 a 18:30 horas. ;  2 salas de exposiciones  1 Salón de actos / auditorio  4 salas de ensayo  9 aulas  Zona wifi  ; Metro: Ventilla (línea 9)  Bus: 42 ;En la misma sede está ubicada la Sala de Estudio Eduardo Úrculo. ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD;DONOSO;PLAZA;V;5;;;;;MADRID;MADRID;28029;ALMENARA;TETUAN;440967;4480259;4.046.903.299.144.090;-36.976.620.067.964.900;917 337 249, 913 239 740;;cceurculo@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1953;Centro Cultural el Madroño (Vicálvaro);;Secretaría: de lunes a viernes de 9 a 14 horas.;  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / Auditorio  7 aulas  Zona wifi  ; Metro: Vicálvaro (línea 9)  Bus: 4, 100, 106, 130 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=57b63d0b5e71c010VgnVCM1000000b205a0aRCRD;VILLARDONDIEGO;CALLE;V;36;;;;;MADRID;MADRID;28032;CASCO H.VICALVARO;VICALVARO;448466;4473127;40.405.283.650.744.300;-36.086.278.232.922.800;"917 753 140 /  917 753 141              
";;ccelmadrono@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1939;Centro Cultural El Pozo (Puente de Vallecas);; Secretaría: de lunes a viernes de 9 a 14 y de 17 a 19 horas. ;  2 salas de exposiciones  2 salas de lectura y estudio  Salón de actos / auditorio  2 salas de ensayo  12 aulas  Cafetería  Zona wifi  ; Bus: 24, 102 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD;GLORIETAS;AVENIDA;V;19 - 21;;;;;MADRID;MADRID;28053;ENTREVIAS;PUENTE DE VALLECAS;444059;4469640;403.735.856.436.473;-36.602.546.064.905.300;917 866 372 / 917 866 644;;ccptioraimundo@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1940;Centro Cultural el Torito (Moratalaz);; Secretaría:    De lunes a viernes de 9 a 14 y de 17 a 19 horas   Sábados y domingos cerrado  Agosto cerrado  ;  Sala de lectura y estudio  Salón de actos / auditorio  9 aulas  Zona wifi  ; Metro: Artilleros (línea 9)  Bus: 20, 30, 32, 71, 100 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD;MORATALAZ;AVENIDA;V;130;;;;;MADRID;MADRID;28030;VINATEROS;MORATALAZ;445250;4473240;4.040.609.591.857.160;-3.646.536.107.063.500;913 287 385 / 913 287 386;;cceltorito@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1954;Centro Cultural Fernando de los Ríos (Latina);; Secretaría: de lunes a viernes de 9 a 14 y de 16 a 18:30 horas ;  Sala de exposiciones  2 salas de lectura/estudio  Salón de actos / auditorio  11 aulas  Cafetería  Zona wifi  ;Bus: 25, 31, 121, 138;  En la misma sede:    Biblioteca Pública Municipal de Aluche   Sala de Estudio Fernando de los Ríos   ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD;CAMARENA;CALLE;V;10B;;;;;MADRID;MADRID;28047;ALUCHE;LATINA;435929;4472140;4.039.552.030.374.420;-37.562.666.456.453.600;917 198 993 / 917 198 930;;ccfrios#@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1921;Centro Cultural Galileo (Chamberí);;  Centro    De lunes  a viernes de 8:30 a 21:30 horas  Sábados de 10 a 20:30 horas.  Domingo y festivos: cerrado     Secretaría    De lunes a viernes 10 a 13 horas  Lunes y jueves de 16 a 17:30 horas    Sala exposiciones    De lunes a sábado de 10 a 14 y de 15 a 20 horas.  ;  Espacios    Teatro Galileo  Auditorio    Servicios    2 Salas de exposiciones  1 Salas de lectura y estudio  1 Salón de actos / Auditorio  14 Aulas  Cafetería  Zona wifi  ; Metro: Quevedo (línea 2)  Bus: 2, 16, 21 y 61 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD;GALILEO;CALLE;V;39;;;;;MADRID;MADRID;28015;ARAPILES;CHAMBERI;439851;4476347;4.043.371.190.964.790;-37.104.543.597.957.700;915 913 901;;ccgalileo@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
70243;Centro Cultural Gloria Fuertes (Barajas);; Secretaría: de lunes a viernes de 10 a 14 y de 16 a 19 horas. ;  Sala de exposiciones  5 aulas  Cafetería  Zona wifi  ; Bus: 105, 112, 115, 151. ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD;LOGROÑO;AVENIDA;V;179;;;;;MADRID;MADRID;28042;CORRALEJOS;BARAJAS;449775;4479261;40.460.622.835.379.600;-35.936.877.657.335.900;913 120 243;;ccgloriafuertes@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1930;Centro Cultural Hortaleza;; Secretaría (atención al público): de 9 a 14 horas ;  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  4 salas de ensayo  5 aulas  Zona wifi  ; Metro: Parque de Santa María (línea 4)  Bus: 72, 87, 107 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD;SANTA VIRGILIA;CALLE;V;15;;;;;MADRID;MADRID;28033;PINAR DEL REY;HORTALEZA;445689;4481092;40.476.859.845.869.500;-36.420.353.342.333.200;913 821 493;;cchortaleza@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1929;Centro Cultural Huerta de la Salud (Hortaleza);; Secretaría (atención al público): de 9 a 14 horas ;  Salón de actos / Auditorio  3 aulas  Zona wifi  ; Metro: San Lorenzo (línea 4)  Bus: 9, 72, 87, 107 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dc581e79ee71c010VgnVCM1000000b205a0aRCRD;MAR DE ARAL;CALLE;V;13 posterior;;;;;MADRID;MADRID;28033;PINAR DEL REY;HORTALEZA;445599;4480837;404.745.567.778.344;-36.430.751.341.515.500;913 825 104;;cchuertasalud@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
6017747;Centro Cultural José Luis López Vázquez (San Blas - Canillejas);; Secretaría: de lunes a viernes de 9 a 14 y 15 a 18 horas. ;  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  4 aulas  Zona wifi  ;Bus :  77 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD;FEBRERO;CALLE;V;4;;;;;MADRID;MADRID;28022;REJAS;SAN BLAS-CANILLEJAS;451540;4477716;40.446.818.592.300.200;-3.572.741.163.820.910;913 295 211 (secretaría);;ccjllopezvazquez@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
142944;Centro Cultural Jose Luis Sampedro (Latina) (antiguo Centro Cultural Lucero);; Secretaría: de lunes a viernes de 9 a 14:30 horas y de 16 a 18 horas ;  4 salas de ensayos  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  6 aulas  Zona wifi  ; Metro: Laguna (línea 6)  Bus: 55, 119, 138  Renfe: Laguna ;En la misma sede está ubicada la Sala de Estudio Lucero. ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD;CASTROSERNA;CALLE;V;4B;;;;esquina Calle Latina;MADRID;MADRID;28047;LUCERO;LATINA;436542;4472809;4.040.159.394.334.660;-3.749.110.841.406.560;915 267 820 / 821;;cclucero@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1913;Centro Cultural Juan Gris (Moncloa - Aravaca);;  De lunes a viernes de 10 a 13:30 horas  De lunes a jueves de 17 a 18:30 horas   ;  3 aulas.  Zona wifi.  ; Metro: Francos Rodríguez (línea 7)  Bus: 44, 64, 126, 127, 132 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=79a81e79ee71c010VgnVCM1000000b205a0aRCRD;FRANCOS RODRIGUEZ;CALLE;V;100;;;;;MADRID;MADRID;28039;VALDEZARZA;MONCLOA-ARAVACA;439719;4479028;40.457.862.962.907.300;-371.225.373.746.578;914 507 865 / 998 ;;ccjuangris@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1911;Centro Cultural Julio Cortázar (Moncloa - Aravaca);; Secretaría: de lunes a jueves (atención al público) de 10 a 14 y de 17 a 20 horas. Viernes de 10 a 14 horas. ;  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  6 aulas  Zona wifi  ; Metro: Valdezarza (línea 7)   Bus: 126, 127, 132 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cfc81e79ee71c010VgnVCM1000000b205a0aRCRD;ANTONIO MACHADO;CALLE;V;20;;;;;MADRID;MADRID;28035;VALDEZARZA;MONCLOA-ARAVACA;439107;4480023;4.046.678.159.096.300;-37.195.669.111.891.700;913 734 375;;ccjcortazar@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1951;Centro Cultural la Elipa (Ciudad Lineal);; Secretaría: de lunes a viernes de 9 a 14 y de 17 a 19 horas ;  Sala de exposiciones  Salón de actos / auditorio  6 aulas  Zona wifi  ; Metro: La Elipa (línea 2).  Bus: 110, 113, 210. ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6c191e79ee71c010VgnVCM1000000b205a0aRCRD;SANTA FELICIDAD;CALLE;V;39;;;;;MADRID;MADRID;28017;VENTAS;CIUDAD LINEAL;444944;4475273;40.424.399.136.378.100;-36.503.185.491.568.600;914 055 312;;ccelipa@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1917;Centro Cultural La Vaguada (Fuencarral - El Pardo);; Secretaría: de lunes a jueves de 9 a 14 y de 16 a 19 horas.  Viernes de 9 a 14 ;  Sala de exposiciones  Salón de actos / auditorio  7 aulas  Zona wifi  ; Metro: Barrio del Pilar (línea 9).  Bus: 49 , 83 , 128 , 132 , 137 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=09691e79ee71c010VgnVCM1000000b205a0aRCRD;MONFORTE DE LEMOS;AVENIDA;V;38;;;;;MADRID;MADRID;28029;EL PILAR;FUENCARRAL-EL PARDO;440003;4481374;4.047.900.813.206.290;-3.709.138.377.702.430;915 886 883;;cclavaguada@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1938;Centro Cultural Lope de Vega (Puente de Vallecas);; Secretaría: de lunes a viernes no festivos de 9 a 14 y de 17 a 19 horas. ;"  Sala de exposiciones   Sala de lectura y estudio  Salón de actos / auditorio  2 salas de ensayo  9 aulas  Vending ( 3&ordf;  planta)  Zona wifi  "; Bus: 24, 102 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD;CONCEJO DE TEVERGA;CALLE;V;1;;;;;MADRID;MADRID;28053;ENTREVIAS;PUENTE DE VALLECAS;443084;4471058;40.386.293.684.801.800;-36.718.658.006.661.900;"917 570 580 / 917 570 581                 
";;cclopedevega@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1973;Centro Cultural Los Rosales (Villaverde);; Secretaría: de lunes a jueves de 9:30 a 13:30 y de 17 a 19 y viernes de 9:30 a 13:30 horas.  Del 8 al 31 de julio de 9 a 14 horas. ;  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  9 aulas  Cafetería  Zona wifi  ; Bus: 85 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5b91e79ee71c010VgnVCM1000000b205a0aRCRD;LOS ROSALES;AVENIDA;V;133;;;;;MADRID;MADRID;28021;BUTARQUE;VILLAVERDE;442592;4467116;4.035.074.797.433.510;-36.773.064.421.969.200;917 109 273;;cclosrosales@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
4606802;Centro Cultural Luis Peidró (Retiro);; Secretaría: de lunes a viernes de 9 a 14 y de 16 a 18 horas. ;  Sala de lectura y estudio  Salón de actos / auditorio  6 aulas  zona wifi  ; Metro: Puente de Vallecas (línea 1) , Mendez Álvaro (línea 6)  Bus: 113, 148 ;En la misma sede está ubicada la Sala de Estudio Luis Peidró.;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD;LUIS PEIDRO;CALLE;V;2;;;;;MADRID;MADRID;28007;ADELFAS;RETIRO;442921;4472249;40.397.020.792.322.300;-3.673.881.351.837.230;"915 016 942 / 915 021 015       
";;ccluispeidro@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
6469004;Centro Cultural Mercado de Ibiza (Retiro);;Secretaría: de lunes a viernes de 9 a 14 horas.;  2 salas de lectura y estudio  6 aulas  Zona Wifi  ; Metro: Ibiza (línea 9)  Bus: 15, 26, 61, 63, 202, 215 ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dbeab973f50e7310VgnVCM1000000b205a0aRCRD;IBIZA;CALLE;V;8;1ª;;;;MADRID;MADRID;28009;IBIZA;RETIRO;442642;4474600;4.041.817.157.699.020;-3.677.392.762.224.420;"915 572 601  / 914 009 788 / 915 571 885          
";;ccibiza@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1933;Centro Cultural Meseta de Orcasitas (Usera);; Secretaría: de lunes a viernes de 9 a 14 y de 17 a 19 horas. ;  1 Sala de exposiciones  1 Salón de actos / auditorio  2 Salas de ensayo  3 aulas  Zona wifi  ; Bus: 78, 81, 116 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD;ASOCIACION;PLAZA;V;1;;;;;MADRID;MADRID;28041;ORCASITAS;USERA;439988;4469239;4.036.968.950.845.350;-37.081.679.144.829.000;913 415 677, 913 415 326;;ccmesetaorcasitas@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1955;Centro Cultural Miguel Hernández (Latina);; Secretaría: de lunes a viernes de 9 a 14:30 y de 17 a 19 horas ;  Sala de exposiciones  Sala de lectura y estudio  Salón de actos / auditorio  7 aulas  Zona wifi  ; Bus: 34, 39, 117, 139  Renfe: Las Aguilas ;En la misma sede esta ubicada la Sala de Estudios Miguel Hernández. ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=420a1e79ee71c010VgnVCM1000000b205a0aRCRD;SERRADILLA;CALLE;V;13;;;;;MADRID;MADRID;28044;LAS AGUILAS;LATINA;433732;4470309;40.378.853.797.128.300;-37.819.616.113.032.100;917 066 300;;ccmiguelh@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1972;Centro Cultural Moncloa (Moncloa - Aravaca);            ;Secretaría: de lunes a viernes de 9:30 a 13:30 horas;  Sala de exposiciones  Salón de actos / auditorio  Zona wifi  ; Metro: Moncloa (líneas 3, 6)  Bus: 1, 44, 82, 83, 132, 133, 160, 161, 162, A, G, C  ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=982a1e79ee71c010VgnVCM1000000b205a0aRCRD;MONCLOA;PLAZA;V;1;;;;;MADRID;MADRID;28008;ARGUELLES;MONCLOA-ARAVACA;439137;4476518;40.435.209.393.826.600;-37.188.765.163.188.200;"915 886 978  / 914 800 586 /  915 886 952 (puerta de entrada)                 
";;ccmoncloa@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1932;Centro Cultural Nicolás Salmerón (Chamartín);; Secretaría:   De lunes a jueves de 9 a 13:30 y de 16 a 19 horas  Viernes de 9 a 1:30 horas y de 16 a 17 horas  ;  2 Sala de exposiciones  1 Salón de actos / auditorio  1 Sala de lectura y estudio  Sala de ensayo  17 aulas  Cafetería  Zona wifi  ; Metro: Concha Espina (línea 9), Prosperidad (línea 4), Cruz del Rayo (línea 9)  Bus: 7, 16, 19, 29, 51, 52 ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD;MANTUANO;CALLE;V;51;;;;;MADRID;MADRID;28002;CIUDAD JARDIN;CHAMARTIN;442766;4477922;4.044.810.636.195.710;-36.762.309.620.097.300;915 103 751;;ccnsalmeron@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
1934;Centro Cultural Orcasur (Usera);; Secretaría: de lunes a viernes de 9 a 13:30 y de 17 a 18:30 horas. ;  1 salón de actos / auditorio  2 salas de ensayo  6 aulas  Zona wifi  ; Bus: 78, 116  Renfe: Orcasitas ;;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b9a1e79ee71c010VgnVCM1000000b205a0aRCRD;PUEBLO;PLAZA;V;2;;;;;MADRID;MADRID;28041;ORCASUR;USERA;440582;4468910;40.366.768.324.753.400;-3.701.141.063.083.800;913 188 090;;ccorcasur@madrid.es;/contenido/entidadesYorganismos/CentrosCulturales; 
